Title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
3 Bedroom House , Dodda Hagade,3,3,1555,3857,59.99,PlotArea
2 BHK Apartment , Sarvabhouma Nagar,2,2,1010,5148,52,CarpetArea
2 BHK Apartment , Vidyaranyapura,2,2,1120,5178,55,Built-upArea
3 BHK Apartment , Medahalli,3,2,1400,4642,65,Built-upArea
2 BHK Apartment , Anekal,2,2,850,6470,55,CarpetArea
1 BHK Apartment , Yelahanka,1,1,595,9243,55,Superbuilt-up
2 BHK Apartment , Kurudusonnenahalli,2,2,1035,4251,44,Superbuilt-up
3 BHK Apartment , Marathahalli,3,3,1460,6849,100,CarpetArea
2 BHK Apartment , Chelekare,2,2,1090,5963,65,CarpetArea
2 BHK Apartment , Anekal,2,2,901,4328,39,CarpetArea
3 BHK Apartment , Tumkur Road,3,3,1702,8519,145,CarpetArea
2 BHK Apartment , Gollarapalya Hosahalli,2,2,1060,4245,45,Superbuilt-up
2 BHK Apartment , Rajarajeshwari Nagar,2,2,1150,4782,55,Superbuilt-up
3 Bedroom House , Kenchenahalli,3,3,750,11333,85,PlotArea
2 BHK Apartment , Ramamurthy Nagar,2,2,1080,5833,63,Superbuilt-up
3 BHK Apartment , Bellandur,3,3,1793,5131,92,Superbuilt-up
3 BHK Apartment , S,3,3,1405,4625,65,Superbuilt-up
2 BHK Apartment , Sanjay nagar,2,2,1008,6448,62,Superbuilt-up
2 BHK Apartment , Padmanabhanagar,2,2,900,6333,57,Superbuilt-up
2 BHK Apartment , Old Madras Road,2,2,764,11125,85,CarpetArea
3 BHK Independent Builder Floor , Banashankari,3,2,1255,6294,79,CarpetArea
2 BHK Apartment , Begur,2,2,1020,4313,44,Superbuilt-up
2 BHK Apartment , S,2,2,1200,5000,54,Superbuilt-up
1 BHK Apartment , Sonnenahalli,1,1,650,7692,50,Superbuilt-up
2 BHK Apartment , Yelachenahalli,2,2,1200,3750,45,CarpetArea
2 BHK Apartment , Padmanabhanagar,2,2,1100,4545,50,CarpetArea
3 BHK Apartment , Electronics City Phase 1,3,2,1500,4800,72,Superbuilt-up
3 BHK Independent Builder Floor , Basaveshwara Nagar,3,3,1800,6111,110,Built-upArea
2 BHK Independent Builder Floor , Rustam Bagh Layout,2,2,1264,6500,66,Built-upArea
2 BHK Apartment , Old Madras Road,2,2,1171,7344,86,Superbuilt-up
2 BHK Apartment , 5th Phase JP Nagar,2,2,1075,5302,57,Superbuilt-up
3 BHK Apartment ," Bhuvaneshwari Nagar, NH7",3,2,1380,5072,70,Built-upArea
2 BHK Apartment ," Bhuvaneshwari Nagar, NH7",2,2,1100,5000,55,Built-upArea
3 BHK Apartment , Devanahalli,3,2,1150,5739,66,CarpetArea
3 BHK Apartment , Bommasandra,3,3,1325,3735,49.5,Built-upArea
2 BHK Apartment , Doddakannelli,2,2,1070,4859,52,CarpetArea
2 BHK Apartment , Electronics City Phase 1,2,1,770,5584,43,Built-upArea
2 BHK Apartment , Vijayanagar,2,2,921,5537,51,CarpetArea
3 BHK Apartment ," Bhuvaneswari Nagar, NH7",3,2,1380,4710,65,Built-upArea
2 BHK Apartment , Anekal,2,1,620,3548,22,Built-upArea
2 BHK Apartment , Electronics City Phase 1,2,2,1050,5523,58,CarpetArea
2 BHK Apartment , Shree Ananth Nagar Layout,2,2,1250,3600,45,CarpetArea
2 BHK Apartment , Balagere,2,2,1235,6963,86,Superbuilt-up
2 BHK Apartment , Electronic City,2,2,1200,3583,43,CarpetArea
2 BHK Independent Builder Floor , Hebbal,2,2,1100,4090,45,Superbuilt-up
3 BHK Apartment , Electronic City,3,3,1275,5568,71,Superbuilt-up
2 Bedroom House , Ramanagara,2,1,1500,4600,69,PlotArea
2 BHK Apartment , Bellandur,2,2,1309,7448,92,Superbuilt-up
2 BHK Apartment , Margondanahalli,2,2,830,4100,34,Built-upArea
2 BHK Apartment , Tumkur Road,2,2,1058,8000,85,Superbuilt-up
3 BHK Apartment , Vasanth nagar,3,3,1405,11032,155,Built-upArea
2 BHK Apartment , Bellandur,2,2,1067,7122,76,CarpetArea
2 BHK Apartment , Anekal,2,1,620,3225,20,CarpetArea
3 BHK Apartment , Konanakunte,3,3,1563,6589,103,Superbuilt-up
2 BHK Apartment , Uttarahalli,2,2,1020,5686,58,Superbuilt-up
2 Bedroom House , TC Palaya,2,2,900,8333,79,PlotArea
3 BHK Apartment , Doddaballapur Road,3,2,1075,3906,42,Built-upArea
3 BHK Apartment , Rajarajeshwari Nagar,3,3,1730,6936,120,Superbuilt-up
2 BHK Apartment , 7th Phase JP Nagar,2,2,1365,8571,117,Superbuilt-up
2 BHK Apartment , JP Nagar,2,2,1300,10384,135,Superbuilt-up
3 BHK Apartment , Tejasw,3,2,1002,6000,58,Superbuilt-up
2 BHK Apartment , Varthur,2,2,1220,7049,86,Superbuilt-up
2 BHK Apartment , Jigani,2,2,795,5031,40,Superbuilt-up
2 BHK Apartment , Gubbalala,2,2,825,6266,51.7,CarpetArea
2 BHK Apartment , Attibele,2,2,1350,3481,45,Superbuilt-up
2 BHK Apartment , Begur Road,2,2,1353,4470,54,Built-upArea
2 BHK Apartment , Kodigehalli,2,2,1120,4910,55,CarpetArea
2 BHK Apartment , Thubarahalli,2,2,1170,5555,65,Superbuilt-up
2 BHK Apartment , Kanakapura Road,2,2,1083,6000,63,Built-upArea
2 BHK Apartment , Electronic City Phase 2,2,2,1235,5506,68,Superbuilt-up
2 BHK Apartment , Electronic City,2,2,825,2666,22,Superbuilt-up
2 BHK Apartment , Kaggadasapura,2,2,1149,5657,65,Built-upArea
2 BHK Apartment , Sarjapur Road,2,2,1144,6993,80,Superbuilt-up
3 BHK Apartment , Surabhi Layout,3,2,1275,5235,66.75,Built-upArea
2 BHK Apartment , Jigani,2,2,796,5025,40,Superbuilt-up
1 BHK Apartment , Iggalur,1,2,640,3125,20,Superbuilt-up
2 BHK Apartment , Electronic City,2,2,1005,4378,45,CarpetArea
2 BHK Apartment , Kundalahalli,2,2,1301,7302,95,Superbuilt-up
3 BHK Apartment , Uttarahalli,3,2,1350,5481,74,Superbuilt-up
2 BHK Apartment , RT Nagar,2,2,1192,6040,72,Built-upArea
2 BHK Apartment , Electronic City,2,2,1221,7616,88,Superbuilt-up
1 BHK Apartment , Kogilu,1,1,1005,4875,49,Superbuilt-up
4 BHK Apartment , Shikaripalya,4,3,1900,4731,89.9,Built-upArea
2 BHK Apartment , Devarachikkanahalli,2,2,1332,6156,78,Superbuilt-up
3 BHK Apartment , Whitefield,3,3,1453,5505,80,Superbuilt-up
2 BHK Apartment , Gov,2,2,1311,6107,80,Superbuilt-up
2 BHK Apartment , Electronic City,2,2,895,5195,46.5,Superbuilt-up
2 BHK Apartment , Sector 2 HSR Layout,2,2,1277,5403,69,Superbuilt-up
2 BHK Apartment , Devanahalli,2,2,950,8885,51,Superbuilt-up
3 BHK Apartment , 5th Phase JP Nagar,3,3,1050,5523,58,CarpetArea
2 BHK Apartment , Electronics City Phase 1,2,2,1050,2761,29,CarpetArea
3 BHK Apartment , Rajarajeshwari Nagar,3,3,1680,6666,100,Superbuilt-up
2 BHK Apartment , Kasavanhalli,2,2,1100,6500,65,Superbuilt-up
2 BHK Apartment , Thanisandra,2,2,1080,8789,94.93,CarpetArea
2 BHK Apartment , Kanakapura,2,2,901,7103,64,Superbuilt-up
2 BHK Apartment , Anjanapura,2,2,960,4166,40,Superbuilt-up
2 BHK Apartment , Ramamurthy Nagar,2,2,1188,6018,65,Superbuilt-up
2 BHK Apartment , 9th Phase JP Nagar,2,1,800,4000,32,Built-upArea
2 BHK Apartment , Bannerghatta Road,2,2,1145,5414,55,Superbuilt-up
4 BHK Apartment , RR Nagar,4,3,1500,4333,65,Superbuilt-up
