,Location,Price_per_sqft,Total_sqft,Area,BHK,Price
1191,3 BHK Apartment in Kanakapura Road,"₹ 6,782/sq.ft.","1,843 sq.ft. (171 sq.m.) Super built-up Area",(171 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 6,782/sq.ft."
1192,Residential land / Plot in Kodipalya,"₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1193,3 Bedroom House in Whitefield,"₹ 4,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 57 L₹ 4,750/sq.ft."
1194,1 Bedroom House in Nelmangala RTO Driving Track,"₹ 5,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,1 BHK1 Bath,"₹ 60 L₹ 5,000/sq.ft."
1195,3 BHK Apartment in Cooke Town,"₹ 12,173/sq.ft.","1,725 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.1 Cr₹ 12,173/sq.ft."
1196,3 Bedroom House in Bidarahalli,"₹ 5,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK2 Baths,"₹ 64 L₹ 5,333/sq.ft."
1197,2 BHK Apartment in Akshayanagara East,"₹ 3,305/sq.ft.","1,180 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 39 L₹ 3,305/sq.ft."
1198,Residential land / Plot in Hebbagodi,"₹ 6,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 72 L₹ 6,000/sq.ft."
1199,3 BHK Apartment in Jakkur,"₹ 7,386/sq.ft.","1,760 sq.ft. (164 sq.m.) Super built-up Area",(164 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 7,386/sq.ft."
1200,3 BHK Apartment in Sonnenahalli,"₹ 8,000/sq.ft.","1,650 sq.ft. (153 sq.m.) Super built-up Area",(153 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.32 Cr₹ 8,000/sq.ft."
1201,2 BHK Apartment in Shree Ananth Nagar Layout,"₹ 7,222/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 7,222/sq.ft."
1202,2 BHK Apartment in Dodda Nekkundi Extension,"₹ 6,745/sq.ft.","1,349 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 91 L₹ 6,745/sq.ft."
1203,Residential land / Plot in Magadi Road,"₹ 2,916/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 35 L₹ 2,916/sq.ft."
1204,Residential land / Plot in Kachanayakanahalli,"₹ 3,700/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,,"₹ 37 L₹ 3,700/sq.ft."
1205,3 BHK Apartment in HSR Layout,"₹ 12,923/sq.ft.","3,250 sq.ft. (302 sq.m.) Super built-up Area",(302 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 4.2 Cr₹ 12,923/sq.ft."
1206,14 BHK Independent Builder Floor in Varthur,"₹ 14,505/sq.ft.","1,365 sq.ft. (127 sq.m.) Carpet Area",(127 sq.m.) Carpet Area,14 BHK15 Baths,"₹ 1.98 Cr₹ 14,505/sq.ft."
1207,3 BHK Independent Builder Floor in Kadabagere,₹ 16/sq.ft.,"2,400 sq.ft. (223 sq.m.) Super built-up Area",(223 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 25,000₹ 16/sq.ft."
1208,3 BHK Apartment in ITI Layout,"₹ 8,441/sq.ft.","1,540 sq.ft. (143 sq.m.) Super built-up Area",(143 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,441/sq.ft."
1209,2 BHK Apartment in Sector 7,"₹ 6,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,250/sq.ft."
1210,2 BHK Apartment in Basavanapura,"₹ 6,313/sq.ft.","1,188 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,313/sq.ft."
1211,Residential land / Plot in Kengeri,"₹ 5,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63 L₹ 5,250/sq.ft."
1212,3 Bedroom House in Kathriguppe,"₹ 24,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 24,000/sq.ft."
1213,"Residential land / Plot in kengeri,kodipallya","₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1214,Residential land / Plot in Malur,"₹ 2,117/sq.ft.","2,125 sq.ft. (197 sq.m.) Plot Area",(197 sq.m.) Plot Area,,"₹ 45 L₹ 2,117/sq.ft."
1215,3 BHK Apartment in Kanakapura Road,"₹ 6,782/sq.ft.","1,843 sq.ft. (171 sq.m.) Super built-up Area",(171 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 6,782/sq.ft."
1216,Residential land / Plot in Kodipalya,"₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1217,3 Bedroom House in Whitefield,"₹ 4,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 57 L₹ 4,750/sq.ft."
1218,1 Bedroom House in Nelmangala RTO Driving Track,"₹ 5,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,1 BHK1 Bath,"₹ 60 L₹ 5,000/sq.ft."
1219,3 BHK Apartment in Cooke Town,"₹ 12,173/sq.ft.","1,725 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.1 Cr₹ 12,173/sq.ft."
1220,3 Bedroom House in Bidarahalli,"₹ 5,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK2 Baths,"₹ 64 L₹ 5,333/sq.ft."
1221,2 BHK Apartment in Akshayanagara East,"₹ 3,305/sq.ft.","1,180 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 39 L₹ 3,305/sq.ft."
1222,Residential land / Plot in Hebbagodi,"₹ 6,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 72 L₹ 6,000/sq.ft."
1223,3 BHK Apartment in Jakkur,"₹ 7,386/sq.ft.","1,760 sq.ft. (164 sq.m.) Super built-up Area",(164 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 7,386/sq.ft."
1224,3 BHK Apartment in Sonnenahalli,"₹ 8,000/sq.ft.","1,650 sq.ft. (153 sq.m.) Super built-up Area",(153 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.32 Cr₹ 8,000/sq.ft."
1225,2 BHK Apartment in Shree Ananth Nagar Layout,"₹ 7,222/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 7,222/sq.ft."
1226,2 BHK Apartment in Dodda Nekkundi Extension,"₹ 6,745/sq.ft.","1,349 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 91 L₹ 6,745/sq.ft."
1227,Residential land / Plot in Magadi Road,"₹ 2,916/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 35 L₹ 2,916/sq.ft."
1228,Residential land / Plot in Kachanayakanahalli,"₹ 3,700/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,,"₹ 37 L₹ 3,700/sq.ft."
1229,3 BHK Apartment in HSR Layout,"₹ 12,923/sq.ft.","3,250 sq.ft. (302 sq.m.) Super built-up Area",(302 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 4.2 Cr₹ 12,923/sq.ft."
1230,14 BHK Independent Builder Floor in Varthur,"₹ 14,505/sq.ft.","1,365 sq.ft. (127 sq.m.) Carpet Area",(127 sq.m.) Carpet Area,14 BHK15 Baths,"₹ 1.98 Cr₹ 14,505/sq.ft."
1231,3 BHK Independent Builder Floor in Kadabagere,₹ 16/sq.ft.,"2,400 sq.ft. (223 sq.m.) Super built-up Area",(223 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 25,000₹ 16/sq.ft."
1232,3 BHK Apartment in ITI Layout,"₹ 8,441/sq.ft.","1,540 sq.ft. (143 sq.m.) Super built-up Area",(143 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,441/sq.ft."
1233,2 BHK Apartment in Sector 7,"₹ 6,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,250/sq.ft."
1234,2 BHK Apartment in Basavanapura,"₹ 6,313/sq.ft.","1,188 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,313/sq.ft."
1235,Residential land / Plot in Kengeri,"₹ 5,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63 L₹ 5,250/sq.ft."
1236,3 Bedroom House in Kathriguppe,"₹ 24,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 24,000/sq.ft."
1237,"Residential land / Plot in kengeri,kodipallya","₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1238,Residential land / Plot in Malur,"₹ 2,117/sq.ft.","2,125 sq.ft. (197 sq.m.) Plot Area",(197 sq.m.) Plot Area,,"₹ 45 L₹ 2,117/sq.ft."
1239,3 BHK Apartment in Kanakapura Road,"₹ 6,782/sq.ft.","1,843 sq.ft. (171 sq.m.) Super built-up Area",(171 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 6,782/sq.ft."
1240,Residential land / Plot in Kodipalya,"₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1241,3 Bedroom House in Whitefield,"₹ 4,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 57 L₹ 4,750/sq.ft."
1242,1 Bedroom House in Nelmangala RTO Driving Track,"₹ 5,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,1 BHK1 Bath,"₹ 60 L₹ 5,000/sq.ft."
1243,3 BHK Apartment in Cooke Town,"₹ 12,173/sq.ft.","1,725 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.1 Cr₹ 12,173/sq.ft."
1244,3 Bedroom House in Bidarahalli,"₹ 5,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK2 Baths,"₹ 64 L₹ 5,333/sq.ft."
1245,2 BHK Apartment in Akshayanagara East,"₹ 3,305/sq.ft.","1,180 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 39 L₹ 3,305/sq.ft."
1246,Residential land / Plot in Hebbagodi,"₹ 6,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 72 L₹ 6,000/sq.ft."
1247,3 BHK Apartment in Jakkur,"₹ 7,386/sq.ft.","1,760 sq.ft. (164 sq.m.) Super built-up Area",(164 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 7,386/sq.ft."
1248,3 BHK Apartment in Sonnenahalli,"₹ 8,000/sq.ft.","1,650 sq.ft. (153 sq.m.) Super built-up Area",(153 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.32 Cr₹ 8,000/sq.ft."
1249,2 BHK Apartment in Shree Ananth Nagar Layout,"₹ 7,222/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 7,222/sq.ft."
1250,2 BHK Apartment in Dodda Nekkundi Extension,"₹ 6,745/sq.ft.","1,349 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 91 L₹ 6,745/sq.ft."
1251,Residential land / Plot in Magadi Road,"₹ 2,916/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 35 L₹ 2,916/sq.ft."
1252,Residential land / Plot in Kachanayakanahalli,"₹ 3,700/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,,"₹ 37 L₹ 3,700/sq.ft."
1253,3 BHK Apartment in HSR Layout,"₹ 12,923/sq.ft.","3,250 sq.ft. (302 sq.m.) Super built-up Area",(302 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 4.2 Cr₹ 12,923/sq.ft."
1254,14 BHK Independent Builder Floor in Varthur,"₹ 14,505/sq.ft.","1,365 sq.ft. (127 sq.m.) Carpet Area",(127 sq.m.) Carpet Area,14 BHK15 Baths,"₹ 1.98 Cr₹ 14,505/sq.ft."
1255,3 BHK Independent Builder Floor in Kadabagere,₹ 16/sq.ft.,"2,400 sq.ft. (223 sq.m.) Super built-up Area",(223 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 25,000₹ 16/sq.ft."
1256,3 BHK Apartment in ITI Layout,"₹ 8,441/sq.ft.","1,540 sq.ft. (143 sq.m.) Super built-up Area",(143 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,441/sq.ft."
1257,2 BHK Apartment in Sector 7,"₹ 6,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,250/sq.ft."
1258,2 BHK Apartment in Basavanapura,"₹ 6,313/sq.ft.","1,188 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,313/sq.ft."
1259,Residential land / Plot in Kengeri,"₹ 5,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63 L₹ 5,250/sq.ft."
1260,3 Bedroom House in Kathriguppe,"₹ 24,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 24,000/sq.ft."
1261,"Residential land / Plot in kengeri,kodipallya","₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1262,Residential land / Plot in Malur,"₹ 2,117/sq.ft.","2,125 sq.ft. (197 sq.m.) Plot Area",(197 sq.m.) Plot Area,,"₹ 45 L₹ 2,117/sq.ft."
1263,3 BHK Apartment in Kanakapura Road,"₹ 6,782/sq.ft.","1,843 sq.ft. (171 sq.m.) Super built-up Area",(171 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 6,782/sq.ft."
1264,Residential land / Plot in Kodipalya,"₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1265,3 Bedroom House in Whitefield,"₹ 4,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 57 L₹ 4,750/sq.ft."
1266,1 Bedroom House in Nelmangala RTO Driving Track,"₹ 5,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,1 BHK1 Bath,"₹ 60 L₹ 5,000/sq.ft."
1267,3 BHK Apartment in Cooke Town,"₹ 12,173/sq.ft.","1,725 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.1 Cr₹ 12,173/sq.ft."
1268,3 Bedroom House in Bidarahalli,"₹ 5,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK2 Baths,"₹ 64 L₹ 5,333/sq.ft."
1269,2 BHK Apartment in Akshayanagara East,"₹ 3,305/sq.ft.","1,180 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 39 L₹ 3,305/sq.ft."
1270,Residential land / Plot in Hebbagodi,"₹ 6,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 72 L₹ 6,000/sq.ft."
1271,3 BHK Apartment in Jakkur,"₹ 7,386/sq.ft.","1,760 sq.ft. (164 sq.m.) Super built-up Area",(164 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 7,386/sq.ft."
1272,3 BHK Apartment in Sonnenahalli,"₹ 8,000/sq.ft.","1,650 sq.ft. (153 sq.m.) Super built-up Area",(153 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.32 Cr₹ 8,000/sq.ft."
1273,2 BHK Apartment in Shree Ananth Nagar Layout,"₹ 7,222/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 7,222/sq.ft."
1274,2 BHK Apartment in Dodda Nekkundi Extension,"₹ 6,745/sq.ft.","1,349 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 91 L₹ 6,745/sq.ft."
1275,Residential land / Plot in Magadi Road,"₹ 2,916/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 35 L₹ 2,916/sq.ft."
1276,Residential land / Plot in Kachanayakanahalli,"₹ 3,700/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,,"₹ 37 L₹ 3,700/sq.ft."
1277,3 BHK Apartment in HSR Layout,"₹ 12,923/sq.ft.","3,250 sq.ft. (302 sq.m.) Super built-up Area",(302 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 4.2 Cr₹ 12,923/sq.ft."
1278,14 BHK Independent Builder Floor in Varthur,"₹ 14,505/sq.ft.","1,365 sq.ft. (127 sq.m.) Carpet Area",(127 sq.m.) Carpet Area,14 BHK15 Baths,"₹ 1.98 Cr₹ 14,505/sq.ft."
1279,3 BHK Independent Builder Floor in Kadabagere,₹ 16/sq.ft.,"2,400 sq.ft. (223 sq.m.) Super built-up Area",(223 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 25,000₹ 16/sq.ft."
1280,3 BHK Apartment in ITI Layout,"₹ 8,441/sq.ft.","1,540 sq.ft. (143 sq.m.) Super built-up Area",(143 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,441/sq.ft."
1281,2 BHK Apartment in Sector 7,"₹ 6,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,250/sq.ft."
1282,2 BHK Apartment in Basavanapura,"₹ 6,313/sq.ft.","1,188 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,313/sq.ft."
1283,Residential land / Plot in Kengeri,"₹ 5,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63 L₹ 5,250/sq.ft."
1284,3 Bedroom House in Kathriguppe,"₹ 24,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 24,000/sq.ft."
1285,"Residential land / Plot in kengeri,kodipallya","₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1286,Residential land / Plot in Malur,"₹ 2,117/sq.ft.","2,125 sq.ft. (197 sq.m.) Plot Area",(197 sq.m.) Plot Area,,"₹ 45 L₹ 2,117/sq.ft."
1287,3 BHK Apartment in Kanakapura Road,"₹ 6,782/sq.ft.","1,843 sq.ft. (171 sq.m.) Super built-up Area",(171 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 6,782/sq.ft."
1288,Residential land / Plot in Kodipalya,"₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1289,3 Bedroom House in Whitefield,"₹ 4,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 57 L₹ 4,750/sq.ft."
1290,1 Bedroom House in Nelmangala RTO Driving Track,"₹ 5,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,1 BHK1 Bath,"₹ 60 L₹ 5,000/sq.ft."
1291,3 BHK Apartment in Cooke Town,"₹ 12,173/sq.ft.","1,725 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.1 Cr₹ 12,173/sq.ft."
1292,3 Bedroom House in Bidarahalli,"₹ 5,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK2 Baths,"₹ 64 L₹ 5,333/sq.ft."
1293,2 BHK Apartment in Akshayanagara East,"₹ 3,305/sq.ft.","1,180 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 39 L₹ 3,305/sq.ft."
1294,Residential land / Plot in Hebbagodi,"₹ 6,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 72 L₹ 6,000/sq.ft."
1295,3 BHK Apartment in Jakkur,"₹ 7,386/sq.ft.","1,760 sq.ft. (164 sq.m.) Super built-up Area",(164 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 7,386/sq.ft."
1296,3 BHK Apartment in Sonnenahalli,"₹ 8,000/sq.ft.","1,650 sq.ft. (153 sq.m.) Super built-up Area",(153 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.32 Cr₹ 8,000/sq.ft."
1297,2 BHK Apartment in Shree Ananth Nagar Layout,"₹ 7,222/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 7,222/sq.ft."
1298,2 BHK Apartment in Dodda Nekkundi Extension,"₹ 6,745/sq.ft.","1,349 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 91 L₹ 6,745/sq.ft."
1299,Residential land / Plot in Magadi Road,"₹ 2,916/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 35 L₹ 2,916/sq.ft."
1300,Residential land / Plot in Kachanayakanahalli,"₹ 3,700/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,,"₹ 37 L₹ 3,700/sq.ft."
1301,3 BHK Apartment in HSR Layout,"₹ 12,923/sq.ft.","3,250 sq.ft. (302 sq.m.) Super built-up Area",(302 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 4.2 Cr₹ 12,923/sq.ft."
1302,14 BHK Independent Builder Floor in Varthur,"₹ 14,505/sq.ft.","1,365 sq.ft. (127 sq.m.) Carpet Area",(127 sq.m.) Carpet Area,14 BHK15 Baths,"₹ 1.98 Cr₹ 14,505/sq.ft."
1303,3 BHK Independent Builder Floor in Kadabagere,₹ 16/sq.ft.,"2,400 sq.ft. (223 sq.m.) Super built-up Area",(223 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 25,000₹ 16/sq.ft."
1304,3 BHK Apartment in ITI Layout,"₹ 8,441/sq.ft.","1,540 sq.ft. (143 sq.m.) Super built-up Area",(143 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,441/sq.ft."
1305,2 BHK Apartment in Sector 7,"₹ 6,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,250/sq.ft."
1306,2 BHK Apartment in Basavanapura,"₹ 6,313/sq.ft.","1,188 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,313/sq.ft."
1307,Residential land / Plot in Kengeri,"₹ 5,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63 L₹ 5,250/sq.ft."
1308,3 Bedroom House in Kathriguppe,"₹ 24,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 24,000/sq.ft."
1309,"Residential land / Plot in kengeri,kodipallya","₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1310,Residential land / Plot in Malur,"₹ 2,117/sq.ft.","2,125 sq.ft. (197 sq.m.) Plot Area",(197 sq.m.) Plot Area,,"₹ 45 L₹ 2,117/sq.ft."
1311,3 BHK Apartment in Kanakapura Road,"₹ 6,782/sq.ft.","1,843 sq.ft. (171 sq.m.) Super built-up Area",(171 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 6,782/sq.ft."
1312,Residential land / Plot in Kodipalya,"₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1313,3 Bedroom House in Whitefield,"₹ 4,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 57 L₹ 4,750/sq.ft."
1314,1 Bedroom House in Nelmangala RTO Driving Track,"₹ 5,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,1 BHK1 Bath,"₹ 60 L₹ 5,000/sq.ft."
1315,3 BHK Apartment in Cooke Town,"₹ 12,173/sq.ft.","1,725 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.1 Cr₹ 12,173/sq.ft."
