title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
3 BHK Apartment , Tumkur Road,3,3,1702,8519,145,CarpetArea
2 BHK Apartment , Gollarapalya Hosahalli,2,2,1060,4245,45,Superbuilt-up
3 BHK Apartment , Basavangudi,3,3,2470,6882,170,Superbuilt-up
2 BHK Apartment , Rajarajeshwari Nagar,2,2,1150,4782,55,Superbuilt-up
3 Bedroom House , Kenchenahalli,3,3,750,11333,85,PlotArea
2 BHK Apartment , Ramamurthy Nagar,2,2,1080,5833,63,Superbuilt-up
3 BHK Apartment , Bellandur,3,3,1793,5131,92,Superbuilt-up
3 BHK Apartment , S,3,3,1405,4625,65,Superbuilt-up
2 BHK Apartment , Sanjay nagar,2,2,1008,6448,62,Superbuilt-up
3 BHK Apartment , Hennur,3,4,2089,7228,149,Built-upArea
2 BHK Apartment , Padmanabhanagar,2,2,900,6333,57,Superbuilt-up
2 BHK Apartment , Old Madras Road,2,2,764,11125,85,CarpetArea
3 BHK Independent Builder Floor , Banashankari,3,2,1255,6294,79,CarpetArea
2 BHK Apartment , Cunn,2,3,1500,14333,215,Superbuilt-up
2 BHK Apartment , Begur,2,2,1020,4313,44,Superbuilt-up
2 BHK Apartment , S,2,2,1200,5000,54,Superbuilt-up
1 BHK Apartment , Sonnenahalli,1,1,650,7692,50,Superbuilt-up
2 BHK Apartment , Yelachenahalli,2,2,1200,3750,45,CarpetArea
2 BHK Apartment , Padmanabhanagar,2,2,1100,4545,50,CarpetArea
3 BHK Apartment , Electronics City Phase 1,3,2,1500,4800,72,Superbuilt-up
3 BHK Independent Builder Floor , Basaveshwara Nagar,3,3,1800,6111,110,Built-upArea
2 BHK Independent Builder Floor , Rustam Bagh Layout,2,2,1264,6500,66,Built-upArea
3 BHK Apartment , Jyotipuram,3,3,1681,14863,250,CarpetArea
2 BHK Apartment , Old Madras Road,2,2,1171,7344,86,Superbuilt-up
2 BHK Apartment , 5th Phase JP Nagar,2,2,1075,5302,57,Superbuilt-up
6 Bedroom House , Judicial Layout,6,4,3200,15625,500,PlotArea
3 BHK Apartment ," Bhuvaneshwari Nagar, NH7",3,2,1380,5072,70,Built-upArea
2 BHK Apartment ," Bhuvaneshwari Nagar, NH7",2,2,1100,5000,55,Built-upArea
3 BHK Apartment , Devanahalli,3,2,1150,5739,66,CarpetArea
3 BHK Apartment , Bommasandra,3,3,1325,3735,49.5,Built-upArea
2 BHK Apartment , Doddakannelli,2,2,1070,4859,52,CarpetArea
